"","병원경도","병원위도"
"1",126.884122497008,37.4803938036867
"2",127.0218085089,37.5166041956
"3",127.062147795216,37.5142796856122
"4",126.92937673003,37.4819179861189
"5",126.9087589424,37.51888114
"6",126.9127073134,37.5708141022
"7",127.127208274699,37.4870027549906
"8",127.024757288909,37.5063118920787
"9",127.010816012518,37.5321894510312
"10",127.043686692857,37.6723293932498
"11",127.1138783477,37.5040597913
"12",127.0610611946,37.5078254575
"13",126.842895220965,37.5672279608236
"14",127.045733608353,37.5236304940728
"15",126.839889999096,37.5412543091125
"16",126.8815830343,37.4819121882
"17",127.142262855079,37.4866427532962
"18",126.979047839056,37.5608362518183
"19",127.061040832454,37.4939283536822
"20",126.840347276426,37.5412397914551
"21",127.025948109249,37.5023891093389
"22",127.009549629527,37.6091093323295
"23",127.0235193056,37.5037879786
"24",127.080224036574,37.5870658346068
"25",127.090087754917,37.5034918424308
"26",126.939281736188,37.6125286478228
"27",126.8918534248,37.4977293066
"28",127.124913859704,37.4796683841344
"29",127.0284480419,37.5217781452
"30",127.1301343938,37.5416472221
"31",126.9312027152,37.5225616247
"32",127.10605,37.5053305555556
"33",127.0210421821,37.5106505
"34",126.811268489685,37.5640509513824
"35",126.8110813709,37.5736504764
"36",126.835390274009,37.5478499174799
"37",126.987077231788,37.5739601834761
"38",127.025561030522,37.5011776111829
"39",127.173817103681,37.5656223913854
"40",127.1183725967,37.4967860604
"41",127.077095445749,37.6270749214328
"42",127.079543523196,37.5565941097975
"43",126.927901387948,37.4994620310411
"44",127.024790867704,37.5049085693728
"45",127.034849358762,37.5226263457201
"46",126.8481260381,37.5330797875
"47",126.947555882248,37.4870037278039
"48",127.039409262803,37.6284851889
"49",127.028579185681,37.4978402234172
"50",127.024344406042,37.5753483891625
"51",127.050043734818,37.5057547233836
"52",126.9312992889,37.5208713999
"53",127.095283333333,37.5411861111111
"54",126.9169226113,37.4852544287
"55",127.051671425547,37.5175391581858
"56",127.036674157,37.4844742455
"57",127.062704161112,37.6167154231757
"58",127.124975762766,37.540555377209
"59",127.0275852405,37.5257283447
"60",126.9127073134,37.5708141022
"61",127.143962122386,37.5395552719906
"62",126.980071951625,37.4849562418105
"63",127.049489136923,37.5154029123681
"64",127.126036016854,37.5339186116171
"65",127.077682479892,37.6123853752687
"66",126.921408042025,37.5987109837632
"67",126.916004283443,37.5702218330627
"68",126.963846366984,37.5692050483494
"69",127.095834529191,37.5407898522941
"70",127.155060303448,37.5598346465919
"71",127.060915646445,37.4826753919081
"72",126.947976852491,37.4866425971915
"73",127.046555723602,37.526239591531
"74",127.124975762766,37.540555377209
"75",126.97175,37.5729583333333
"76",126.847971033372,37.5642277147695
"77",126.935407233318,37.602472019451
"78",127.0629541135,37.4938804973
"79",126.95455309308,37.5571172562924
"80",127.088136818079,37.5839932153662
"81",127.103638890094,37.6006597795989
"82",126.978987075604,37.5676333569953
"83",127.056114051598,37.4906821994712
"84",127.03452937706,37.6628435979156
"85",126.981665148088,37.4846154681034
"86",126.89426489854,37.490973940176
"87",127.0152610295,37.4924042172
"88",127.074101307304,37.5370797649685
"89",126.986740058226,37.5010388051829
"90",126.8643914298,37.530324503
"91",127.023614953143,37.6349116362696
"92",127.025511220431,37.5013634093685
"93",127.023912866116,37.6311562664083
"94",127.041238127988,37.5166368871337
"95",127.126736709999,37.5371811300263
"96",126.906652812,37.5169621597
"97",127.0362089061,37.6073346205
"98",127.057406636863,37.5680105000569
"99",127.120265561616,37.506611684072
"100",127.014116789051,37.4929918161748
"101",126.916479086983,37.6112857852684
"102",127.0255134818,37.5013620574
"103",127.019799659,37.5168568304
"104",126.927265645826,37.5202061914682
"105",127.1505222965,37.4955204996
"106",127.01657607757,37.4942200198785
"107",126.91766093444,37.6118843478679
"108",126.90436002559,37.4628169921901
"109",126.973619825817,37.4832372046054
"110",126.9880484082,37.5017606505
"111",126.916492053251,37.5880543071404
"112",126.9827092747,37.4872501737
"113",126.926643180234,37.608643633017
"114",127.021515994744,37.516605690807
"115",127.0287283782,37.4976275497
"116",127.018216756562,37.5941554732914
"117",127.0423314387,37.5155498551
"118",127.07751937875,37.613572705004
"119",126.838788888889,37.5594833333333
"120",127.028831163447,37.4943658803863
"121",127.050677331572,37.5128111214035
"122",127.110829160273,37.501664208819
"123",127.034469918668,37.500440757414
"124",127.05101736803,37.5054824538084
"125",127.004210942,37.5713148175
"126",127.040227940278,37.5163038292495
"127",127.093517791333,37.5117027135691
"128",127.115516447279,37.494993446654
"129",127.049150335448,37.5196711067407
"130",127.0588898041,37.5080247811
"131",126.935664600533,37.5551731278605
"132",127.036090089394,37.5019323393195
"133",127.123450834534,37.5399749356085
"134",127.020958519432,37.4864999412248
"135",127.0489503812,37.5247547367862
"136",127.033775,37.5082416666667
"137",126.881583034344,37.4819121882173
"138",127.0306515301,37.4993137502
"139",127.0487861619,37.5058777862
"140",127.1207951134,37.4983405465
"141",127.027879223159,37.5226016123503
"142",127.122763888889,37.4894138888889
"143",127.0588898041,37.5080247811
"144",126.840752904592,37.542047634133
"145",127.0240823503,37.5665912196
"146",126.955579012349,37.4837219404238
"147",126.910733715156,37.4525864788773
"148",127.0546701268,37.4973697151
"149",127.061715800095,37.6542726157063
"150",126.98505844277,37.5461653150917
"151",127.123300715296,37.5393407887876
"152",127.084683905105,37.4901115219176
"153",127.12465161153,37.5407188164817
"154",126.972882731307,37.5717772036887
"155",127.041093475561,37.5168892146371
"156",127.134120393894,37.5357610370321
"157",127.033722299153,37.4899230700564
"158",127.0161738073,37.5930241252
